Stock,Comment,Timestamp,Commented By
Tata Steel,Get  ahead  in  the  stock  market  with  expert  recommendations   for  real-time  updates  and  insider  tips,18-03-2025 23:02,Tata Steel
Tata Steel,Maximize  profits  with  expert  stock  recommendations   join  now,18-03-2025 23:01,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,everyday  huge  short  and  recover  your  lose  best  for  short,18-03-2025 22:57,Tata Steel
Tata Steel,short  heavily  for  bumper  gains  sl  no  need  its  a  heaven  for  shorting,18-03-2025 22:56,Tata Steel
Tata Steel,tatasteel  trgt  175  soon,18-03-2025 22:55,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,buy  ...  buy  tata  steel  for  the  target  of  rs.  198,18-03-2025 22:55,Tata Steel
Tata Steel,tomoro  again  150  so  short  heavily  for  bumper  gains  sl  no  need,18-03-2025 22:55,Tata Steel
Tata Steel,10  bar  short  karo  daso  vaar  profit  best,18-03-2025 22:54,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,100  point  neeche  aane  pa  1  rupiya  neeche  bekar  hai,18-03-2025 22:54,Tata Steel
Tata Steel,india  is  the  second  largest  manufacturer  of  steel  in  the  world.  pli  scheme  with  safeguard  duty  can  improve  and  protect  domestic  steel  industry  respectively.  huge  scope  for  quality  steel  products  for  india.  accumulate.,18-03-2025 22:53,Tata Steel
Tata Steel,1.04  million  shares  of  Tata  Steel  traded  in  another  block-  Bloomberg,18-03-2025 22:53,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,"2.95  million  shares  of  Tata  Steel  traded  in  a  block-  Bloomberg  
Tata  Steel  has  2.9  million  shares  traded  in  a  block",18-03-2025 22:51,Tata Steel
Tata Steel,"yeah,  these  kind  of  a  things  take  time  as  negotiations  remain  at  an   should   lets  hope  for  our  market  and  stocks  recover  mainly  as  performance  for  the  past  few  months  has  been  dull.....",18-03-2025 22:42,Tata Steel
Tata Steel,"This  proposal  is  long  awaited  and  is  getting  delayed  by  DGTR.

      When  do  you  think  they  will  implement  this.",18-03-2025 22:41,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,3.05  million  shares  of  Tata  Steel  trade  in  a  block-  Bloomberg,17-03-2025 17:26,Tata Steel
Tata Steel,buy  tatasteel  on  this  level  also  170  trgt  soon,17-03-2025 15:03,Tata Steel
Tata Steel,Realistic  and  Fair  value  of  Tata  Steel  is  only  132  but  it  is  trading  at  a  premium  of  152  which  is  over  priced  considering  the  fact  that  quarterly  results  are  poor  EPS  has  come  down  along  with  EBIDTA  and  future  is  bleak  with  trade  wars  going  on  between  countries  who  import  steel..God  only  can  save  Tata  Steel..The  stock  will  tumble  very  soon  to  sub  140s,17-03-2025 11:53,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,Future  for  Tata  Steel  is  very  very  uncertain  and  bleak..Global  trade  war  is  impacting  both  the  bottom  line  and  top  line  growth..Atleast  for  the  next  2  years  you  cannot  expect  any  thing  from  this  counter..China  and  US  both  are  hampering  with  their  trade  policies,17-03-2025 10:30,Tata Steel
Tata Steel,"TataSteel  -  Stock  has  good  support  near  130s
Overall  in  the  uptrend  and  one  of  the  strongest  in  the  whole  group.",16-03-2025 19:19,Tata Steel
Tata Steel,"keep  dreaming,  for  the  price  to  above  155  is  challenging",16-03-2025 09:14,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,next  week  tatasteel  target  185,15-03-2025 16:49,Tata Steel
Tata Steel,the  momentum  are  positive  good  luck.,14-03-2025 05:19,Tata Steel
Tata Steel,buy  on  every  dip  strong  performer  company,13-03-2025 14:43,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,this  series  most  probably  all  people  interested  in  gold  stocks  and  metal  stocks  like  tatasteel  and  hindalco.  tatasteel  which  ce  strike  better  for  tomorrow,13-03-2025 14:40,Tata Steel
Tata Steel,"last  10  session,  tisco  surged  20  percent  from  124  level.  show",13-03-2025 14:19,Tata Steel
Tata Steel,down  side  down  side  down  side,13-03-2025 13:13,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,"rajiv  kumar  resigns  vp  -  operations  of  tata  steel

rajiv  kumar  has  resigned  as  vice  president  -  operations  of  tata  steel  kalinganagar,  effective  march  12.",13-03-2025 11:38,Tata Steel
Tata Steel,nxt  week  170  plus  level  soon,13-03-2025 10:21,Tata Steel
Tata Steel,"Rajiv  Kumar  has  resigned  as  Vice  President  -  Operations  of  Tata  Steel  Kalinganagar,  effective  March  12.",13-03-2025 09:04,Tata Steel
Tata Steel,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://www.thefixedincome.com/?utm_source=moneycontrol&utm_medium=mc-forum&utm_campaign=home-page",18-03-2025 22:51,Bonds
Tata Steel,Just  buy  around  148  and  sell  around  155  in  a  weeks  time  a  good  5  percent  return,12-03-2025 20:13,Tata Steel
